关键词,博主,内容,日期,点赞数,评论数,转发数
开学 返校 复学,iBingo,#朱广权神总结开学心情#他来了他来了，他又把手语老师逼疯了 ,2020-04-29,11,4,1
开学 返校 复学,老兔爷zy,#两会召开时间#还有不到一个月的时间，那时候疫情应该已经得到控制了。复工复产复学复课，以及其他日常生活活动基本步入正轨，有盼头了。 ,2020-04-29,0,0,0
开学 返校 复学,侃侃而谈zp,#朱广权神总结开学心情#  朱广权神总结开学心情，妥妥的老师奔溃，学生要跪，家长嘿嘿，功课倒退当然了，还有男士油腻体肥，女士自愧三围     朱广权不去直播带货可惜大了，这个主播确实是观众喜闻乐见的那种 ,2020-04-29,3,8,0
开学 返校 复学,小短腿夏酱,雷厉风行的王炸一家，昨天来看了一下工作室，就火速在我楼上定了一间，一样的格局还比我的便宜400（大概是疫情期间降价了），超级划算。然后刚才我上班就在楼下大堂遇到王炸爸在等咖啡了。开学以后我们要跑到他们小区上日托，他们要跑到我们这边上班，哈哈哈哈哈哈哈哈哈哈哈哈哈哈。太神奇了， ...全文,2020-04-29,103,31,1
开学 返校 复学,朱广权,你开学了吗？🤓,2020-04-29,15522,2282,1652
开学 返校 复学,iBingo,#山东高校5月15日前完成开学条件核验#非毕业年级可能真的要九月九日忆山东兄弟了 ,2020-04-30,13,5,0
开学 返校 复学,追星女孩的日记,#湖南高校毕业年级开学时间# 实在无法理解，湖南为什么会不开学，也没个通知湖南早就清零了，广东省人流量这么大都公布了，毕业年级太惨了叭，论文就要上交查重了，导师没管过没有毕业照，没有毕业典礼 ,2020-05-01,21,6,0
开学 返校 复学,小短腿夏酱,如果6月能开学，我就把夏夏的生日会改成欢送会 ,2020-05-06,45,32,0
开学 返校 复学,iBingo,#山东高一年级5月20日开学系谣言#假的，转发周知辟谣！,2020-05-07,0,0,0
开学 返校 复学,小短腿夏酱,我目前只关心幼儿园什么时候开学 ,2020-05-08,27,54,0
开学 返校 复学,霞勇同心,《从路透社、法新社到NHK，这20多家境外媒体，对上海返校复学有新发现……》对于境外媒体记者们，上海返校复学有何新发现？网页链接 ,2020-05-09,0,0,0
开学 返校 复学,侃侃而谈zp,#多所大学明确部分年级本学期不返校#  多所大学明确部分年级本学期不返校，继续天高任鸟飞，让学生们恣意地享受“复得返自然”的感觉     公元1665年，伦敦发生了一场大瘟疫（后来被确认为鼠疫），一个不满23岁的剑桥大学学霸，为了躲避瘟疫，回到了乡下老家，从此人类社会就揭开了划时代的崭 ...全文,2020-05-09,3,2,1
开学 返校 复学,霞勇同心,《河南这所高校今日返校，为所有学生做核酸检测》5月10日，河南中医药大学的校园迎来了首批返校复学的学子。上午9点，位于龙子湖的河南中医药大学敞开了怀抱，迎接返校复学的第一批学子。网页链接 ,2020-05-10,0,0,0
开学 返校 复学,沈陆良,#又有小学生开学找不到教室了# 桐乡市 ,2020-05-11,0,0,0
开学 返校 复学,小短腿夏酱,#杭州5月18日幼儿园大班开学# 看到杭州幼儿园开学，感觉有希望了！评论还很多人说不敢送的没必要的，你们不送我送啊！ ,2020-05-11,76,58,1
开学 返校 复学,小短腿夏酱,真的假的？我看大家都说送啊//@浓墨重彩之妮妮:@小短腿夏酱 真开学你送吗，据我了解目前已经开学幼儿园，基本没有家长送。,2020-05-12,26,66,0
开学 返校 复学,小短腿夏酱,夏夏和王炸一起玩的画面真美好啊❤️快点开学你们就能天天一起玩啦 ,2020-05-12,75,30,1
